text,sentiment
Really good experience,positive
Terrible service,negative
It works fine,neutral
Fantastic quality,positive
Terrible service,negative
It is okay,neutral
Excellent service,positive
Worst experience,negative
It is okay,neutral
I love this product,positive
Very disappointing,negative
It is okay,neutral
I am very happy,positive
Very disappointing,negative
Not bad not good,neutral
This is amazing,positive
Awful product,negative
Just normal,neutral
Fantastic quality,positive
I hate this,negative
It is okay,neutral
Fantastic quality,positive
Worst experience,negative
Not bad not good,neutral
Excellent service,positive
I hate this,negative
Just normal,neutral
Really good experience,positive
Worst experience,negative
Not bad not good,neutral
Fantastic quality,positive
I hate this,negative
Nothing special,neutral
I love this product,positive
Worst experience,negative
Just normal,neutral
Really good experience,positive
Awful product,negative
Average experience,neutral
Really good experience,positive
Worst experience,negative
It works fine,neutral
Really good experience,positive
Worst experience,negative
It works fine,neutral
Really good experience,positive
Worst experience,negative
It is okay,neutral
I love this product,positive
Terrible service,negative
Just normal,neutral
Really good experience,positive
Awful product,negative
Nothing special,neutral
This is amazing,positive
Very disappointing,negative
Just normal,neutral
This is amazing,positive
This is bad,negative
Average experience,neutral
I love this product,positive
Very disappointing,negative
Average experience,neutral
Really good experience,positive
Worst experience,negative
Just normal,neutral
This is amazing,positive
Very disappointing,negative
Not bad not good,neutral
This is amazing,positive
Worst experience,negative
It is okay,neutral
I love this product,positive
Awful product,negative
Just normal,neutral
I love this product,positive
I hate this,negative
Not bad not good,neutral
Really good experience,positive
I hate this,negative
Average experience,neutral
This is amazing,positive
Worst experience,negative
Just normal,neutral
This is amazing,positive
Very disappointing,negative
Not bad not good,neutral
Fantastic quality,positive
Terrible service,negative
Nothing special,neutral
Fantastic quality,positive
This is bad,negative
It is okay,neutral
Fantastic quality,positive
Worst experience,negative
It works fine,neutral
This is amazing,positive
Awful product,negative
Nothing special,neutral
Excellent service,positive
Awful product,negative
Average experience,neutral
Fantastic quality,positive
Terrible service,negative
Nothing special,neutral
Excellent service,positive
Awful product,negative
It works fine,neutral
Excellent service,positive
This is bad,negative
